_id,userId,timestamp,correct.answers,total.answers,accuracy.rate,test_time,time_1,symbol_1,time_2,symbol_2,time_3,symbol_3,time_4,symbol_4,time_5,symbol_5,time_6,symbol_6,time_7,symbol_7,time_8,symbol_8,time_9,symbol_9,time_10,symbol_10,time_11,symbol_11,time_12,symbol_12,time_13,symbol_13,time_14,symbol_14,time_15,symbol_15,time_16,symbol_16,time_17,symbol_17,time_18,symbol_18,time_19,symbol_19,time_20,symbol_20,time_21,symbol_21,time_22,symbol_22,time_23,symbol_23,time_24,symbol_24,time_25,symbol_25,time_26,symbol_26,time_27,symbol_27,time_28,symbol_28,time_29,symbol_29,time_30,symbol_30,time_31,symbol_31,time_32,symbol_32,time_33,symbol_33,time_34,symbol_34,time_35,symbol_35,time_36,symbol_36,time_37,symbol_37,time_38,symbol_38,time_39,symbol_39,time_40,symbol_40,time_41,symbol_41,time_42,symbol_42,time_43,symbol_43,time_44,symbol_44,time_45,symbol_45,time_46,symbol_46,time_47,symbol_47,time_48,symbol_48,time_49,symbol_49,time_50,symbol_50,time_51,symbol_51,time_52,symbol_52,time_53,symbol_53,time_54,symbol_54,time_55,symbol_55,time_56,symbol_56,time_57,symbol_57,time_58,symbol_58,time_59,symbol_59,time_60,symbol_60,time_61,symbol_61,avg_test,avg_test_ms,hour,day,moment,ms,distract_points,response_ms_med
tWRagcPwpJjwNo6hu,eobt3CosDzEtxWW5P,2017-05-31 18:12:55.637,32,32,1.0,0 days 00:01:26.449000000,0 days 00:00:02.443000000,window,0 days 00:00:05.373000000,star,0 days 00:00:02.330000000,circle,0 days 00:00:02.277000000,mult,0 days 00:00:02.658000000,circle,0 days 00:00:02.323000000,mult,0 days 00:00:02.503000000,window,0 days 00:00:02.037000000,circle,0 days 00:00:02.272000000,window,0 days 00:00:02.115000000,square,0 days 00:00:02.405000000,plus,0 days 00:00:02.692000000,inf,0 days 00:00:02.134000000,triangle,0 days 00:00:02.386000000,square,0 days 00:00:02.488000000,mult,0 days 00:00:01.973000000,square,0 days 00:00:02.186000000,inf,0 days 00:00:02.024000000,square,0 days 00:00:01.921000000,window,0 days 00:00:02.807000000,mult,0 days 00:00:02.076000000,hamburger,0 days 00:00:02.459000000,window,0 days 00:00:02.666000000,square,0 days 00:00:02.662000000,triangle,0 days 00:00:03.160000000,square,0 days 00:00:01.902000000,inf,0 days 00:00:04.670000000,circle,0 days 00:00:02.554000000,star,0 days 00:00:05.666000000,mult,0 days 00:00:02.319000000,inf,0 days 00:00:02.280000000,hamburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:05.256562500,5256,18,2017-05-31,18:12:55.637000,1.0,3,2386.0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,2017-06-01 10:05:28.466,33,35,0.9428571428571428,0 days 00:01:26.701000000,0 days 00:00:02.673000000,triangle,0 days 00:00:02.548000000,plus,0 days 00:00:02.712000000,triangle,0 days 00:00:02.168000000,window,0 days 00:00:02.211000000,hamburger,0 days 00:00:02.691000000,plus,0 days 00:00:02.003000000,circle,0 days 00:00:01.561000000,window,0 days 00:00:02.685000000,mult,0 days 00:00:02.949000000,circle,0 days 00:00:02.498000000,mult,0 days 00:00:03.120000000,hamburger,0 days 00:00:02.193000000,inf,0 days 00:00:02.891000000,star,0 days 00:00:02.260000000,window,0 days 00:00:02.220000000,plus,0 days 00:00:02.367000000,triangle,0 days 00:00:02.841000000,star,0 days 00:00:02.043000000,mult,0 days 00:00:01.803000000,circle,0 days 00:00:02.655000000,mult,0 days 00:00:01.626000000,circle,0 days 00:00:01.906000000,star,0 days 00:00:01.686000000,triangle,0 days 00:00:02.301000000,square,0 days 00:00:02.990000000,mult,0 days 00:00:02.038000000,triangle,0 days 00:00:01.518000000,window,0 days 00:00:02.816000000,plus,0 days 00:00:03.222000000,circle,0 days 00:00:01.745000000,triangle,0 days 00:00:03.358000000,plus,0 days 00:00:03.871000000,triangle,0 days 00:00:02.524000000,plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.839828571,4839,10,2017-06-01,10:05:28.466000,0.0,1,2432.5
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,2017-06-01 10:18:49.461,41,41,1.0,0 days 00:01:29.085000000,0 days 00:00:02.392000000,circle,0 days 00:00:03.857000000,square,0 days 00:00:02.695000000,mult,0 days 00:00:02.058000000,circle,0 days 00:00:02.101000000,star,0 days 00:00:01.854000000,circle,0 days 00:00:02.280000000,plus,0 days 00:00:01.953000000,inf,0 days 00:00:02.188000000,hamburger,0 days 00:00:01.994000000,plus,0 days 00:00:02.210000000,star,0 days 00:00:02.534000000,window,0 days 00:00:02.139000000,plus,0 days 00:00:03.005000000,star,0 days 00:00:02.456000000,plus,0 days 00:00:01.594000000,square,0 days 00:00:01.860000000,plus,0 days 00:00:02.244000000,triangle,0 days 00:00:01.918000000,hamburger,0 days 00:00:01.849000000,inf,0 days 00:00:01.819000000,window,0 days 00:00:01.611000000,hamburger,0 days 00:00:01.529000000,square,0 days 00:00:03.463000000,circle,0 days 00:00:02.191000000,inf,0 days 00:00:02.044000000,triangle,0 days 00:00:02.559000000,star,0 days 00:00:01.689000000,square,0 days 00:00:01.878000000,inf,0 days 00:00:01.527000000,hamburger,0 days 00:00:02.993000000,star,0 days 00:00:01.676000000,inf,0 days 00:00:02.118000000,window,0 days 00:00:03.016000000,star,0 days 00:00:01.990000000,triangle,0 days 00:00:01.497000000,circle,0 days 00:00:01.756000000,inf,0 days 00:00:01.996000000,triangle,0 days 00:00:01.368000000,mult,0 days 00:00:02.218000000,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.273268292,4273,10,2017-06-01,10:18:49.461000,1.0,2,2051.0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,2017-06-01 10:37:13.065,31,31,1.0,0 days 00:01:25.584000000,0 days 00:00:05.603000000,square,0 days 00:00:03.208000000,window,0 days 00:00:04.443000000,mult,0 days 00:00:04.112000000,star,0 days 00:00:02.064000000,circle,0 days 00:00:01.888000000,plus,0 days 00:00:04.047000000,mult,0 days 00:00:02.877000000,square,0 days 00:00:02.280000000,hamburger,0 days 00:00:01.973000000,inf,0 days 00:00:02.071000000,square,0 days 00:00:02.341000000,plus,0 days 00:00:02.173000000,inf,0 days 00:00:04.038000000,window,0 days 00:00:02.356000000,square,0 days 00:00:01.826000000,triangle,0 days 00:00:02.403000000,hamburger,0 days 00:00:03.675000000,square,0 days 00:00:02.803000000,plus,0 days 00:00:01.691000000,circle,0 days 00:00:03.354000000,hamburger,0 days 00:00:02.675000000,circle,0 days 00:00:02.506000000,hamburger,0 days 00:00:01.921000000,circle,0 days 00:00:02.897000000,inf,0 days 00:00:02.718000000,triangle,0 days 00:00:02.409000000,window,0 days 00:00:02.637000000,star,0 days 00:00:02.330000000,mult,0 days 00:00:02.708000000,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:05.471322580,5471,10,2017-06-01,10:37:13.065000,1.0,5,2571.5
zYH2gbmQv3mKNNgwB,eobt3CosDzEtxWW5P,2017-06-01 12:06:18.856,34,35,0.9714285714285714,0 days 00:01:27.153000000,0 days 00:00:02.237000000,hamburger,0 days 00:00:00.277000000,star,0 days 00:00:01.721000000,hamburger,0 days 00:00:02.510000000,star,0 days 00:00:02.121000000,hamburger,0 days 00:00:02.258000000,star,0 days 00:00:01.635000000,hamburger,0 days 00:00:02.960000000,inf,0 days 00:00:03.234000000,plus,0 days 00:00:02.114000000,inf,0 days 00:00:02.843000000,plus,0 days 00:00:02.872000000,star,0 days 00:00:02.265000000,window,0 days 00:00:01.929000000,hamburger,0 days 00:00:03.367000000,star,0 days 00:00:03.470000000,square,0 days 00:00:02.121000000,circle,0 days 00:00:02.108000000,triangle,0 days 00:00:02.811000000,inf,0 days 00:00:01.974000000,circle,0 days 00:00:02.583000000,square,0 days 00:00:02.843000000,inf,0 days 00:00:02.500000000,circle,0 days 00:00:03.334000000,inf,0 days 00:00:02.476000000,window,0 days 00:00:03.029000000,circle,0 days 00:00:02.409000000,window,0 days 00:00:01.515000000,hamburger,0 days 00:00:02.020000000,circle,0 days 00:00:02.063000000,mult,0 days 00:00:02.191000000,triangle,0 days 00:00:04.469000000,plus,0 days 00:00:03.530000000,star,0 days 00:00:02.572000000,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.900400000,4900,12,2017-06-01,12:06:18.856000,1.0,2,2442.5
95YQwptFb6bcqNLEY,rbRi3wxxtT43aXeWc,2017-06-01 16:21:58.434,45,45,1.0,0 days 00:01:26.570000000,0 days 00:00:01.635000000,mult,0 days 00:00:01.750000000,window,0 days 00:00:01.782000000,triangle,0 days 00:00:01.749000000,mult,0 days 00:00:01.980000000,square,0 days 00:00:02.228000000,star,0 days 00:00:01.628000000,square,0 days 00:00:01.495000000,triangle,0 days 00:00:03.344000000,star,0 days 00:00:01.792000000,inf,0 days 00:00:02.286000000,hamburger,0 days 00:00:01.666000000,star,0 days 00:00:01.543000000,hamburger,0 days 00:00:01.367000000,triangle,0 days 00:00:03.219000000,plus,0 days 00:00:01.868000000,inf,0 days 00:00:01.760000000,square,0 days 00:00:01.913000000,hamburger,0 days 00:00:01.451000000,square,0 days 00:00:01.507000000,window,0 days 00:00:02.712000000,hamburger,0 days 00:00:01.611000000,circle,0 days 00:00:01.894000000,square,0 days 00:00:02.500000000,circle,0 days 00:00:02.016000000,window,0 days 00:00:01.835000000,plus,0 days 00:00:01.487000000,triangle,0 days 00:00:03.292000000,star,0 days 00:00:02.143000000,window,0 days 00:00:02.319000000,triangle,0 days 00:00:02.168000000,plus,0 days 00:00:02.368000000,hamburger,0 days 00:00:01.810000000,triangle,0 days 00:00:02.128000000,circle,0 days 00:00:02.005000000,mult,0 days 00:00:01.500000000,hamburger,0 days 00:00:01.692000000,plus,0 days 00:00:01.424000000,hamburger,0 days 00:00:01.486000000,circle,0 days 00:00:01.523000000,square,0 days 00:00:01.350000000,triangle,0 days 00:00:02.320000000,hamburger,0 days 00:00:02.183000000,star,0 days 00:00:01.949000000,plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:03.827733333,3827,16,2017-06-01,16:21:58.434000,1.0,3,1822.5
ceuTgePLwArXNPL7E,sJ9hRX2KdkmtQNNmd,2017-06-01 16:29:29.439,54,54,1.0,0 days 00:01:27.996000000,0 days 00:00:01.923000000,plus,0 days 00:00:01.829000000,square,0 days 00:00:01.815000000,triangle,0 days 00:00:01.389000000,mult,0 days 00:00:01.372000000,triangle,0 days 00:00:02.509000000,plus,0 days 00:00:01.826000000,hamburger,0 days 00:00:02.142000000,inf,0 days 00:00:02.076000000,mult,0 days 00:00:01.611000000,star,0 days 00:00:01.986000000,hamburger,0 days 00:00:01.629000000,circle,0 days 00:00:01.774000000,plus,0 days 00:00:01.378000000,square,0 days 00:00:02.188000000,star,0 days 00:00:01.526000000,plus,0 days 00:00:01.321000000,circle,0 days 00:00:01.755000000,plus,0 days 00:00:01.477000000,star,0 days 00:00:01.814000000,window,0 days 00:00:01.369000000,square,0 days 00:00:01.940000000,triangle,0 days 00:00:01.626000000,inf,0 days 00:00:01.732000000,star,0 days 00:00:01.535000000,window,0 days 00:00:01.320000000,circle,0 days 00:00:01.283000000,square,0 days 00:00:01.331000000,star,0 days 00:00:01.277000000,circle,0 days 00:00:01.734000000,hamburger,0 days 00:00:01.438000000,mult,0 days 00:00:01.293000000,inf,0 days 00:00:01.453000000,mult,0 days 00:00:01.732000000,plus,0 days 00:00:01.278000000,inf,0 days 00:00:01.690000000,window,0 days 00:00:02.126000000,plus,0 days 00:00:01.421000000,square,0 days 00:00:02.059000000,triangle,0 days 00:00:01.831000000,star,0 days 00:00:01.489000000,window,0 days 00:00:01.962000000,hamburger,0 days 00:00:01.898000000,star,0 days 00:00:01.887000000,mult,0 days 00:00:01.447000000,window,0 days 00:00:01.264000000,circle,0 days 00:00:01.189000000,square,0 days 00:00:01.339000000,plus,0 days 00:00:01.596000000,mult,0 days 00:00:01.028000000,inf,0 days 00:00:01.805000000,window,0 days 00:00:01.673000000,plus,0 days 00:00:00.997000000,inf,,,,,,,,,,,,,,,,,0 days 00:00:03.229222222,3229,16,2017-06-01,16:29:29.439000,1.0,0,1626.0
c2gsFHPNrZFFKkyxT,eobt3CosDzEtxWW5P,2017-06-02 05:04:40.151,36,36,1.0,0 days 00:01:23.509000000,0 days 00:00:02.389000000,mult,0 days 00:00:02.315000000,star,0 days 00:00:02.078000000,hamburger,0 days 00:00:02.883000000,inf,0 days 00:00:01.921000000,square,0 days 00:00:01.814000000,hamburger,0 days 00:00:02.214000000,window,0 days 00:00:03.956000000,inf,0 days 00:00:02.732000000,star,0 days 00:00:02.531000000,triangle,0 days 00:00:01.692000000,hamburger,0 days 00:00:02.354000000,star,0 days 00:00:01.538000000,inf,0 days 00:00:02.196000000,mult,0 days 00:00:03.847000000,inf,0 days 00:00:03.020000000,mult,0 days 00:00:02.953000000,triangle,0 days 00:00:02.010000000,inf,0 days 00:00:02.392000000,star,0 days 00:00:01.780000000,inf,0 days 00:00:01.566000000,hamburger,0 days 00:00:03.162000000,plus,0 days 00:00:01.951000000,mult,0 days 00:00:02.039000000,window,0 days 00:00:02.362000000,triangle,0 days 00:00:02.106000000,circle,0 days 00:00:01.788000000,square,0 days 00:00:03.482000000,plus,0 days 00:00:02.084000000,mult,0 days 00:00:01.794000000,triangle,0 days 00:00:02.473000000,star,0 days 00:00:02.530000000,circle,0 days 00:00:02.057000000,plus,0 days 00:00:02.023000000,square,0 days 00:00:01.801000000,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.592833333,4592,5,2017-06-02,05:04:40.151000,1.0,2,2196.0
AETx7eSvggLGkDkAL,iPppckgzp8sRDpzfy,2017-06-02 12:07:21.986,36,38,0.9473684210526315,0 days 00:01:25.555000000,0 days 00:00:02.049000000,triangle,0 days 00:00:02.285000000,inf,0 days 00:00:01.670000000,hamburger,0 days 00:00:02.468000000,square,0 days 00:00:01.663000000,inf,0 days 00:00:01.879000000,star,0 days 00:00:02.389000000,mult,0 days 00:00:02.027000000,star,0 days 00:00:02.126000000,square,0 days 00:00:02.231000000,window,0 days 00:00:02.100000000,mult,0 days 00:00:01.889000000,inf,0 days 00:00:01.916000000,circle,0 days 00:00:02.092000000,square,0 days 00:00:02.693000000,circle,0 days 00:00:01.858000000,square,0 days 00:00:01.790000000,circle,0 days 00:00:01.657000000,window,0 days 00:00:02.202000000,plus,0 days 00:00:02.275000000,square,0 days 00:00:02.063000000,plus,0 days 00:00:01.951000000,circle,0 days 00:00:01.410000000,plus,0 days 00:00:02.134000000,star,0 days 00:00:02.911000000,window,0 days 00:00:02.207000000,triangle,0 days 00:00:05.435000000,mult,0 days 00:00:02.125000000,triangle,0 days 00:00:02.826000000,square,0 days 00:00:03.276000000,star,0 days 00:00:02.626000000,plus,0 days 00:00:02.478000000,hamburger,0 days 00:00:02.528000000,plus,0 days 00:00:02.526000000,mult,0 days 00:00:02.475000000,triangle,0 days 00:00:02.571000000,hamburger,0 days 00:00:02.039000000,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.484078947,4484,12,2017-06-02,12:07:21.986000,1.0,1,2134.0
QsxiFgzJ7YrNXCz9y,rbRi3wxxtT43aXeWc,2017-06-02 18:38:02.592,48,48,1.0,0 days 00:01:28.896000000,0 days 00:00:02.466000000,star,0 days 00:00:01.977000000,triangle,0 days 00:00:01.744000000,inf,0 days 00:00:03.147000000,star,0 days 00:00:01.412000000,circle,0 days 00:00:01.666000000,inf,0 days 00:00:01.983000000,hamburger,0 days 00:00:01.666000000,star,0 days 00:00:01.393000000,circle,0 days 00:00:02.073000000,triangle,0 days 00:00:02.263000000,star,0 days 00:00:03.831000000,mult,0 days 00:00:01.625000000,square,0 days 00:00:01.847000000,plus,0 days 00:00:01.505000000,window,0 days 00:00:01.903000000,hamburger,0 days 00:00:02.506000000,star,0 days 00:00:01.771000000,circle,0 days 00:00:01.852000000,window,0 days 00:00:01.773000000,inf,0 days 00:00:03.682000000,star,0 days 00:00:01.591000000,square,0 days 00:00:01.428000000,circle,0 days 00:00:01.977000000,mult,0 days 00:00:01.632000000,circle,0 days 00:00:02.191000000,window,0 days 00:00:01.446000000,circle,0 days 00:00:01.489000000,square,0 days 00:00:01.717000000,hamburger,0 days 00:00:01.440000000,circle,0 days 00:00:01.745000000,hamburger,0 days 00:00:01.612000000,window,0 days 00:00:01.612000000,square,0 days 00:00:01.867000000,star,0 days 00:00:01.801000000,mult,0 days 00:00:01.614000000,plus,0 days 00:00:01.291000000,star,0 days 00:00:01.915000000,window,0 days 00:00:01.684000000,hamburger,0 days 00:00:01.833000000,plus,0 days 00:00:01.677000000,mult,0 days 00:00:01.464000000,star,0 days 00:00:01.620000000,inf,0 days 00:00:01.815000000,square,0 days 00:00:01.705000000,plus,0 days 00:00:01.415000000,circle,0 days 00:00:01.776000000,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:03.673708333,3673,18,2017-06-02,18:38:02.592000,1.0,3,1744.0
47sfeJmBDbMSAPA7n,eobt3CosDzEtxWW5P,2017-06-03 06:58:21.894,31,34,0.9117647058823529,0 days 00:01:23.570000000,0 days 00:00:02.910000000,mult,0 days 00:00:02.151000000,window,0 days 00:00:02.285000000,inf,0 days 00:00:03.086000000,plus,0 days 00:00:02.728000000,mult,0 days 00:00:01.980000000,star,0 days 00:00:02.072000000,triangle,0 days 00:00:01.831000000,star,0 days 00:00:02.233000000,mult,0 days 00:00:02.213000000,plus,0 days 00:00:02.150000000,star,0 days 00:00:02.124000000,circle,0 days 00:00:02.328000000,plus,0 days 00:00:02.337000000,circle,0 days 00:00:02.445000000,inf,0 days 00:00:01.929000000,hamburger,0 days 00:00:02.854000000,star,0 days 00:00:03.391000000,plus,0 days 00:00:02.994000000,hamburger,0 days 00:00:03.801000000,window,0 days 00:00:03.476000000,star,0 days 00:00:02.909000000,triangle,0 days 00:00:02.987000000,window,0 days 00:00:02.312000000,mult,0 days 00:00:02.165000000,window,0 days 00:00:02.058000000,inf,0 days 00:00:01.722000000,plus,0 days 00:00:01.878000000,hamburger,0 days 00:00:02.302000000,triangle,0 days 00:00:02.755000000,star,0 days 00:00:03.364000000,triangle,0 days 00:00:02.232000000,star,0 days 00:00:01.748000000,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.862352941,4862,6,2017-06-03,06:58:21.894000,1.0,1,2302.0
rHd79GG5ppP5uGTYy,qs5XkSepn4qjBpzck,2017-06-03 09:49:19.573,36,37,0.972972972972973,0 days 00:01:29.822000000,0 days 00:00:02.606000000,window,0 days 00:00:02.459000000,hamburger,0 days 00:00:02.007000000,square,0 days 00:00:02.564000000,plus,0 days 00:00:02.302000000,window,0 days 00:00:01.961000000,mult,0 days 00:00:02.569000000,plus,0 days 00:00:02.685000000,square,0 days 00:00:02.167000000,mult,0 days 00:00:03.037000000,circle,0 days 00:00:02.893000000,inf,0 days 00:00:01.948000000,hamburger,0 days 00:00:02.690000000,triangle,0 days 00:00:02.154000000,window,0 days 00:00:02.804000000,star,0 days 00:00:02.330000000,plus,0 days 00:00:02.866000000,square,0 days 00:00:01.874000000,inf,0 days 00:00:02.184000000,triangle,0 days 00:00:02.236000000,square,0 days 00:00:02.961000000,plus,0 days 00:00:02.692000000,square,0 days 00:00:01.729000000,triangle,0 days 00:00:01.977000000,plus,0 days 00:00:01.996000000,inf,0 days 00:00:02.311000000,circle,0 days 00:00:02.548000000,square,0 days 00:00:01.858000000,triangle,0 days 00:00:01.869000000,mult,0 days 00:00:01.939000000,square,0 days 00:00:01.684000000,inf,0 days 00:00:03.169000000,plus,0 days 00:00:02.384000000,star,0 days 00:00:02.479000000,plus,0 days 00:00:01.579000000,square,0 days 00:00:02.380000000,plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.694945945,4694,9,2017-06-03,09:49:19.573000,0.0,0,2320.5
ek8DCnB9FL4Nvvvj3,rbRi3wxxtT43aXeWc,2017-06-03 19:47:12.097,51,51,1.0,0 days 00:01:29.064000000,0 days 00:00:01.251000000,circle,0 days 00:00:01.440000000,window,0 days 00:00:02.519000000,hamburger,0 days 00:00:01.768000000,square,0 days 00:00:01.866000000,triangle,0 days 00:00:01.697000000,window,0 days 00:00:01.742000000,hamburger,0 days 00:00:01.539000000,mult,0 days 00:00:01.988000000,triangle,0 days 00:00:02.280000000,inf,0 days 00:00:01.662000000,window,0 days 00:00:02.060000000,circle,0 days 00:00:01.274000000,hamburger,0 days 00:00:01.910000000,triangle,0 days 00:00:01.526000000,window,0 days 00:00:01.667000000,hamburger,0 days 00:00:01.318000000,plus,0 days 00:00:01.889000000,circle,0 days 00:00:02.519000000,mult,0 days 00:00:01.778000000,triangle,0 days 00:00:01.480000000,mult,0 days 00:00:01.333000000,window,0 days 00:00:01.334000000,circle,0 days 00:00:03.425000000,star,0 days 00:00:01.416000000,circle,0 days 00:00:01.498000000,hamburger,0 days 00:00:01.839000000,mult,0 days 00:00:01.553000000,star,0 days 00:00:01.235000000,circle,0 days 00:00:01.751000000,triangle,0 days 00:00:01.697000000,square,0 days 00:00:01.273000000,inf,0 days 00:00:01.176000000,hamburger,0 days 00:00:01.325000000,plus,0 days 00:00:01.521000000,window,0 days 00:00:01.691000000,square,0 days 00:00:02.388000000,mult,0 days 00:00:01.479000000,star,0 days 00:00:02.879000000,square,0 days 00:00:01.544000000,inf,0 days 00:00:02.446000000,triangle,0 days 00:00:01.165000000,circle,0 days 00:00:01.651000000,star,0 days 00:00:01.670000000,square,0 days 00:00:01.774000000,triangle,0 days 00:00:01.589000000,square,0 days 00:00:01.274000000,circle,0 days 00:00:02.895000000,triangle,0 days 00:00:01.484000000,window,0 days 00:00:01.093000000,inf,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:03.443823529,3443,19,2017-06-03,19:47:12.097000,1.0,1,1656.5
iXWD8GG2272tHqGhg,eobt3CosDzEtxWW5P,2017-06-03 20:15:35.198,41,41,1.0,0 days 00:01:28.763000000,0 days 00:00:01.989000000,square,0 days 00:00:01.613000000,star,0 days 00:00:01.962000000,square,0 days 00:00:02.150000000,triangle,0 days 00:00:02.176000000,inf,0 days 00:00:02.055000000,mult,0 days 00:00:02.198000000,plus,0 days 00:00:02.428000000,circle,0 days 00:00:02.169000000,hamburger,0 days 00:00:02.529000000,window,0 days 00:00:02.360000000,mult,0 days 00:00:02.140000000,hamburger,0 days 00:00:01.753000000,circle,0 days 00:00:01.947000000,window,0 days 00:00:02.076000000,hamburger,0 days 00:00:02.080000000,circle,0 days 00:00:02.167000000,plus,0 days 00:00:02.668000000,window,0 days 00:00:02.036000000,hamburger,0 days 00:00:02.348000000,plus,0 days 00:00:01.688000000,inf,0 days 00:00:02.015000000,square,0 days 00:00:01.892000000,star,0 days 00:00:01.799000000,mult,0 days 00:00:02.540000000,triangle,0 days 00:00:02.239000000,circle,0 days 00:00:01.894000000,window,0 days 00:00:02.483000000,hamburger,0 days 00:00:02.977000000,window,0 days 00:00:02.558000000,hamburger,0 days 00:00:02.134000000,star,0 days 00:00:02.211000000,mult,0 days 00:00:01.824000000,window,0 days 00:00:01.919000000,square,0 days 00:00:01.922000000,triangle,0 days 00:00:01.812000000,mult,0 days 00:00:02.464000000,square,0 days 00:00:02.118000000,star,0 days 00:00:02.114000000,window,0 days 00:00:01.941000000,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.247585365,4247,20,2017-06-03,20:15:35.198000,1.0,0,2116.0
SZ6trEsgo5aTpLBtr,iPppckgzp8sRDpzfy,2017-06-04 07:46:20.956,35,36,0.9722222222222222,0 days 00:01:28.234000000,0 days 00:00:02.177000000,circle,0 days 00:00:02.963000000,hamburger,0 days 00:00:02.237000000,mult,0 days 00:00:01.975000000,triangle,0 days 00:00:01.815000000,mult,0 days 00:00:03.710000000,triangle,0 days 00:00:02.537000000,mult,0 days 00:00:01.871000000,plus,0 days 00:00:03.078000000,square,0 days 00:00:04.213000000,window,0 days 00:00:02.059000000,plus,0 days 00:00:02.153000000,triangle,0 days 00:00:02.235000000,square,0 days 00:00:01.836000000,window,0 days 00:00:02.941000000,mult,0 days 00:00:01.681000000,circle,0 days 00:00:02.910000000,inf,0 days 00:00:01.765000000,plus,0 days 00:00:02.592000000,mult,0 days 00:00:03.039000000,plus,0 days 00:00:01.690000000,triangle,0 days 00:00:01.821000000,circle,0 days 00:00:01.458000000,hamburger,0 days 00:00:03.631000000,square,0 days 00:00:02.745000000,star,0 days 00:00:02.232000000,circle,0 days 00:00:04.093000000,window,0 days 00:00:02.024000000,mult,0 days 00:00:03.836000000,circle,0 days 00:00:01.874000000,square,0 days 00:00:01.919000000,hamburger,0 days 00:00:01.720000000,inf,0 days 00:00:03.289000000,square,0 days 00:00:01.947000000,plus,0 days 00:00:02.220000000,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.847777777,4847,7,2017-06-04,07:46:20.956000,1.0,5,2220.0
mFThWkM522suNq8nf,eobt3CosDzEtxWW5P,2017-06-04 07:56:01.304,40,40,1.0,0 days 00:01:28.013000000,0 days 00:00:01.937000000,circle,0 days 00:00:02.132000000,triangle,0 days 00:00:03.288000000,star,0 days 00:00:02.147000000,triangle,0 days 00:00:02.166000000,square,0 days 00:00:01.693000000,window,0 days 00:00:01.964000000,plus,0 days 00:00:02.551000000,mult,0 days 00:00:02.072000000,triangle,0 days 00:00:01.667000000,window,0 days 00:00:03.322000000,inf,0 days 00:00:01.875000000,window,0 days 00:00:01.950000000,square,0 days 00:00:02.163000000,star,0 days 00:00:01.753000000,mult,0 days 00:00:01.896000000,inf,0 days 00:00:01.848000000,triangle,0 days 00:00:02.273000000,inf,0 days 00:00:03.444000000,mult,0 days 00:00:03.107000000,triangle,0 days 00:00:02.013000000,mult,0 days 00:00:02.200000000,triangle,0 days 00:00:01.931000000,star,0 days 00:00:02.410000000,hamburger,0 days 00:00:01.992000000,square,0 days 00:00:01.591000000,circle,0 days 00:00:01.659000000,square,0 days 00:00:01.834000000,window,0 days 00:00:02.002000000,triangle,0 days 00:00:01.959000000,inf,0 days 00:00:02.548000000,triangle,0 days 00:00:01.710000000,star,0 days 00:00:02.169000000,inf,0 days 00:00:02.958000000,star,0 days 00:00:02.043000000,mult,0 days 00:00:02.569000000,star,0 days 00:00:02.289000000,circle,0 days 00:00:01.820000000,window,0 days 00:00:01.815000000,hamburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:00:04.319325000,4319,7,2017-06-04,07:56:01.304000,1.0,1,2013.0
